"1995-1996 County To County Migration Inflows",,,,,,Indiana,,,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,,,
,,,,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate,,,
18,035,18,075,IN,"Jay County",63,132,1574,,,
18,035,18,003,IN,"Allen County",53,78,1182,,,
18,035,18,057,IN,"Hamilton County",45,80,2197,,,
18,035,18,177,IN,"Wayne County",43,73,813,,,
18,035,18,089,IN,"Lake County",27,41,380,,,
18,035,18,067,IN,"Howard County",25,47,672,,,
18,035,17,031,IL,"Cook County",24,46,737,,,
18,035,18,141,IN,"St Joseph County",22,32,482,,,
18,035,18,105,IN,"Monroe County",21,39,370,,,
18,035,18,157,IN,"Tippecanoe County",21,31,310,,,
18,035,18,039,IN,"Elkhart County",19,35,372,,,
18,035,57,005,FR,"Foreign - APO/FPO ZIPs",18,29,250,,,
18,035,18,059,IN,"Hancock County",16,25,312,,,
18,035,39,061,OH,"Hamilton County",15,22,291,,,
18,035,18,085,IN,"Kosciusko County",13,23,339,,,
18,035,06,073,CA,"San Diego County",12,30,295,,,
18,035,18,005,IN,"Bartholomew County",12,25,330,,,
18,035,39,113,OH,"Montgomery County",12,22,368,,,
18,035,06,059,CA,"Orange County",11,21,356,,,
18,035,18,063,IN,"Hendricks County",11,18,313,,,
18,035,18,091,IN,"La Porte County",11,14,119,,,
18,035,18,001,IN,"Adams County",10,15,115,,,
18,035,18,127,IN,"Porter County",10,12,200,,,
18,035,32,003,NV,"Clark County",10,25,255,,,
18,035,58,000,SS,"Other Flows - Same State",222,371,4481,,,
18,035,59,000,DS,"Other Flows - Diff State",736,1545,21593,,,
18,035,59,001,DS,"Other Flows - Northeast",72,130,2070,,,
18,035,59,003,DS,"Other Flows - Midwest",242,488,7728,,,
18,035,59,005,DS,"Other Flows - South",341,747,9913,,,
18,035,59,007,DS,"Other Flows - West",81,180,1882,,,
18,035,57,009,FR,"Foreign - Other flows",56,59,274,,,
18,037,96,000,IN,"Dubois County Tot Mig-US & For",615,1277,17433,,,
18,037,97,000,IN,"Dubois County Tot Mig-US",615,1277,17433,,,
18,037,97,001,IN,"Dubois County Tot Mig-Same St",406,806,10319,,,
18,037,97,003,IN,"Dubois County Tot Mig-Diff St",209,471,7115,,,
18,037,18,037,IN,"Dubois County Non-Migrants",14383,34693,607045,,,
18,037,18,147,IN,"Spencer County",68,134,1399,,,
18,037,18,125,IN,"Pike County",38,87,811,,,
18,037,18,117,IN,"Orange County",34,56,733,,,
18,037,18,163,IN,"Vanderburgh County",33,65,1003,,,
18,037,18,123,IN,"Perry County",27,47,558,,,
18,037,18,101,IN,"Martin County",26,45,484,,,
18,037,18,025,IN,"Crawford County",24,53,675,,,
18,037,18,027,IN,"Daviess County",23,58,605,,,
18,037,18,173,IN,"Warrick County",16,28,394,,,
18,037,18,051,IN,"Gibson County",15,37,471,,,
18,037,18,097,IN,"Marion County",11,18,390,,,
18,037,21,111,KY,"Jefferson County",10,18,446,,,
18,037,58,000,SS,"Other Flows - Same State",91,178,2797,,,
18,037,59,000,DS,"Other Flows - Diff State",199,453,6668,,,
18,039,96,000,IN,"Elkhart County Tot Mig-US & For",3747,7697,100993,,,
18,039,97,000,IN,"Elkhart County Tot Mig-US",3673,7569,100278,,,
18,039,97,001,IN,"Elkhart County Tot Mig-Same St",1651,3195,45245,,,
18,039,97,003,IN,"Elkhart County Tot Mig-Diff St",2022,4374,55033,,,
18,039,98,000,IN,"Elkhart County Tot Mig-Foreign",74,128,715,,,
18,039,18,039,IN,"Elkhart County Non-Migrants",60373,140692,2441510,,,
18,039,18,141,IN,"St Joseph County",641,1170,17784,,,
18,039,26,027,MI,"Cass County",241,463,6224,,,
18,039,18,085,IN,"Kosciusko County",206,436,5971,,,
18,039,18,087,IN,"Lagrange County",124,259,3606,,,
18,039,26,149,MI,"St Joseph County",99,196,2570,,,
18,039,18,099,IN,"Marshall County",96,186,2470,,,
18,039,17,031,IL,"Cook County",87,202,4097,,,
18,039,18,113,IN,"Noble County",77,160,1646,,,
18,039,18,003,IN,"Allen County",60,108,2004,,,
18,039,26,021,MI,"Berrien County",56,98,1007,,,
18,039,18,097,IN,"Marion County",55,120,1852,,,
18,039,18,089,IN,"Lake County",45,109,1062,,,
18,039,26,077,MI,"Kalamazoo County",31,58,724,,,
18,039,18,091,IN,"La Porte County",29,44,468,,,
18,039,06,037,CA,"Los Angeles County",27,72,508,,,
18,039,18,157,IN,"Tippecanoe County",26,50,747,,,
18,039,18,149,IN,"Starke County",25,62,539,,,
18,039,26,081,MI,"Kent County",22,52,588,,,
18,039,57,005,FR,"Foreign - APO/FPO ZIPs",22,44,416,,,
18,039,04,013,AZ,"Maricopa County",20,45,674,,,
18,039,06,059,CA,"Orange County",18,47,562,,,
18,039,18,127,IN,"Porter County",18,25,429,,,
18,039,18,151,IN,"Steuben County",18,35,637,,,
18,039,12,115,FL,"Sarasota County",16,30,384,,,
18,039,18,035,IN,"Delaware County",16,24,317,,,
18,039,18,105,IN,"Monroe County",15,22,203,,,
18,039,51,059,VA,"Fairfax County",14,30,384,,,
18,039,17,043,IL,"Du Page County",13,32,404,,,
18,039,48,215,TX,"Hidalgo County",13,34,315,,,
18,039,06,071,CA,"San Bernardino Count",12,28,303,,,
18,039,08,041,CO,"El Paso County",12,25,264,,,
18,039,18,033,IN,"De Kalb County",12,23,372,,,
18,039,18,053,IN,"Grant County",12,26,289,,,
18,039,18,183,IN,"Whitley County",12,24,292,,,
18,039,26,145,MI,"Saginaw County",12,23,347,,,
18,039,42,071,PA,"Lancaster County",12,23,309,,,
18,039,54,039,WV,"Kanawha County",12,18,176,,,
18,039,26,049,MI,"Genesee County",11,23,197,,,
18,039,26,163,MI,"Wayne County",11,17,424,,,
18,039,39,035,OH,"Cuyahoga County",11,25,375,,,
18,039,39,049,OH,"Franklin County",11,21,301,,,
18,039,06,073,CA,"San Diego County",10,21,235,,,
18,039,12,057,FL,"Hillsborough County",10,23,152,,,
18,039,12,071,FL,"Lee County",10,21,133,,,
18,039,12,103,FL,"Pinellas County",10,16,269,,,
18,039,17,089,IL,"Kane County",10,24,378,,,
18,039,18,167,IN,"Vigo County",10,17,194,,,
18,039,26,065,MI,"Ingham County",10,16,359,,,
18,039,32,003,NV,"Clark County",10,28,198,,,
18,039,48,113,TX,"Dallas County",10,19,247,,,
18,039,58,000,SS,"Other Flows - Same State",154,295,4365,,,
18,039,59,000,DS,"Other Flows - Diff State",1181,2644,31924,,,
18,039,59,001,DS,"Other Flows - Northeast",132,287,4263,,,
18,039,59,003,DS,"Other Flows - Midwest",494,1051,13251,,,
18,039,59,005,DS,"Other Flows - South",421,935,10511,,,
18,039,59,007,DS,"Other Flows - West",134,371,3899,,,
18,039,57,009,FR,"Foreign - Other flows",52,84,299,,,
18,041,96,000,IN,"Fayette County Tot Mig-US & For",508,1058,12351,,,
18,041,97,000,IN,"Fayette County Tot Mig-US",508,1058,12351,,,
18,041,97,001,IN,"Fayette County Tot Mig-Same St",353,731,8256,,,
18,041,97,003,IN,"Fayette County Tot Mig-Diff St",155,327,4095,,,
18,041,18,041,IN,"Fayette County Non-Migrants",9529,21651,324081,,,
18,041,18,139,IN,"Rush County",69,157,1581,,,
18,041,18,177,IN,"Wayne County",66,124,1461,,,
18,041,18,047,IN,"Franklin County",43,92,888,,,
18,041,18,097,IN,"Marion County",30,64,852,,,
18,041,18,161,IN,"Union County",28,56,541,,,
18,041,18,065,IN,"Henry County",20,42,510,,,
18,041,18,145,IN,"Shelby County",10,16,125,,,
18,041,58,000,SS,"Other Flows - Same State",87,180,2298,,,
18,041,59,000,DS,"Other Flows - Diff State",155,327,4095,,,
18,043,96,000,IN,"Floyd County Tot Mig-US & For",2106,4291,63825,,,
18,043,97,000,IN,"Floyd County Tot Mig-US",2106,4291,63825,,,
18,043,97,001,IN,"Floyd County Tot Mig-Same St",1125,2205,30923,,,
18,043,97,003,IN,"Floyd County Tot Mig-Diff St",981,2086,32902,,,
18,043,18,043,IN,"Floyd County Non-Migrants",24102,54277,1014746,,,
18,043,18,019,IN,"Clark County",715,1417,19572,,,
18,043,21,111,KY,"Jefferson County",457,902,15707,,,
18,043,18,061,IN,"Harrison County",176,318,4177,,,
18,043,18,175,IN,"Washington County",53,104,1342,,,
18,043,18,097,IN,"Marion County",20,42,814,,,
18,043,21,029,KY,"Bullitt County",17,33,602,,,
18,043,18,071,IN,"Jackson County",16,35,439,,,
18,043,18,143,IN,"Scott County",15,30,423,,,
18,043,21,067,KY,"Fayette County",14,26,466,,,
18,043,21,185,KY,"Oldham County",12,23,298,,,
18,043,18,025,IN,"Crawford County",11,14,149,,,
18,043,58,000,SS,"Other Flows - Same State",119,245,4008,,,
18,043,59,000,DS,"Other Flows - Diff State",481,1102,15829,,,
18,043,59,001,DS,"Other Flows - Northeast",28,75,1001,,,
18,043,59,003,DS,"Other Flows - Midwest",135,294,5350,,,
18,043,59,005,DS,"Other Flows - South",281,640,8070,,,
18,043,59,007,DS,"Other Flows - West",37,93,1409,,,
18,045,96,000,IN,"Fountain County Tot Mig-US & For",483,1091,12175,,,
18,045,97,000,IN,"Fountain County Tot Mig-US",483,1091,12175,,,
18,045,97,001,IN,"Fountain County Tot Mig-Same St",344,765,9093,,,
18,045,97,003,IN,"Fountain County Tot Mig-Diff St",139,326,3081,,,
18,045,18,045,IN,"Fountain County Non-Migrants",6957,16309,236581,,,
18,045,18,107,IN,"Montgomery County",69,131,1683,,,
18,045,18,157,IN,"Tippecanoe County",69,168,1908,,,
18,045,18,171,IN,"Warren County",57,129,1323,,,
18,045,17,183,IL,"Vermilion County",55,118,1460,,,
18,045,18,165,IN,"Vermillion County",26,49,572,,,
18,045,18,097,IN,"Marion County",16,35,491,,,
18,045,18,121,IN,"Parke County",10,25,183,,,
18,045,18,167,IN,"Vigo County",10,18,169,,,
18,045,58,000,SS,"Other Flows - Same State",87,210,2765,,,
18,045,59,000,DS,"Other Flows - Diff State",84,208,1622,,,
18,047,96,000,IN,"Franklin County Tot Mig-US & For",750,1747,23562,,,
18,047,97,000,IN,"Franklin County Tot Mig-US",750,1747,23562,,,
18,047,97,001,IN,"Franklin County Tot Mig-Same St",407,930,10960,,,
18,047,97,003,IN,"Franklin County Tot Mig-Diff St",343,817,12602,,,
18,047,18,047,IN,"Franklin County Non-Migrants",9902,24466,382818,,,
18,047,39,017,OH,"Butler County",112,249,3088,,,
18,047,18,029,IN,"Dearborn County",75,176,2296,,,
18,047,18,041,IN,"Fayette County",71,175,1892,,,
18,047,39,061,OH,"Hamilton County",64,141,1834,,,
18,047,18,137,IN,"Ripley County",53,114,1267,,,
18,047,18,031,IN,"Decatur County",34,69,754,,,
18,047,18,161,IN,"Union County",28,50,463,,,
18,047,18,097,IN,"Marion County",23,46,671,,,
18,047,18,177,IN,"Wayne County",23,57,624,,,
18,047,18,139,IN,"Rush County",18,50,433,,,
18,047,58,000,SS,"Other Flows - Same State",82,193,2562,,,
18,047,59,000,DS,"Other Flows - Diff State",167,427,7680,,,
18,049,96,000,IN,"Fulton County Tot Mig-US & For",576,1242,12862,,,
18,049,97,000,IN,"Fulton County Tot Mig-US",576,1242,12862,,,
18,049,97,001,IN,"Fulton County Tot Mig-Same St",437,935,9147,,,
18,049,97,003,IN,"Fulton County Tot Mig-Diff St",139,307,3716,,,
18,049,18,049,IN,"Fulton County Non-Migrants",7233,16811,232170,,,
18,049,18,099,IN,"Marshall County",61,127,1338,,,
18,049,18,085,IN,"Kosciusko County",56,129,1343,,,
18,049,18,103,IN,"Miami County",54,109,1228,,,
18,049,18,017,IN,"Cass County",42,96,952,,,
18,049,18,149,IN,"Starke County",34,66,528,,,
18,049,18,141,IN,"St Joseph County",24,42,529,,,
18,049,18,169,IN,"Wabash County",21,53,-758,,,
18,049,18,067,IN,"Howard County",19,45,548,,,
18,049,18,131,IN,"Pulaski County",19,43,399,,,
18,049,18,039,IN,"Elkhart County",13,40,438,,,
18,049,17,031,IL,"Cook County",12,27,409,,,
18,049,58,000,SS,"Other Flows - Same State",94,185,2601,,,
18,049,59,000,DS,"Other Flows - Diff State",127,280,3307,,,
18,051,96,000,IN,"Gibson County Tot Mig-US & For",626,1346,17198,,,
18,051,97,000,IN,"Gibson County Tot Mig-US",626,1346,17198,,,
18,051,97,001,IN,"Gibson County Tot Mig-Same St",410,859,11176,,,
18,051,97,003,IN,"Gibson County Tot Mig-Diff St",216,487,6022,,,
18,051,18,051,IN,"Gibson County Non-Migrants",11561,27055,393363,,,
18,051,18,163,IN,"Vanderburgh County",156,320,4591,,,
18,051,18,125,IN,"Pike County",60,124,1278,,,
18,051,18,173,IN,"Warrick County",36,78,931,,,
18,051,17,185,IL,"Wabash County",30,72,464,,,
18,051,18,083,IN,"Knox County",27,57,545,,,
18,051,18,129,IN,"Posey County",23,49,749,,,
18,051,18,097,IN,"Marion County",17,23,332,,,
18,051,58,000,SS,"Other Flows - Same State",91,208,2750,,,
18,051,59,000,DS,"Other Flows - Diff State",186,415,5559,,,
18,051,59,001,DS,"Other Flows - Northeast",10,21,273,,,
18,051,59,003,DS,"Other Flows - Midwest",53,107,2182,,,
18,051,59,005,DS,"Other Flows - South",98,231,2454,,,
18,051,59,007,DS,"Other Flows - West",25,56,650,,,
18,053,96,000,IN,"Grant County Tot Mig-US & For",1268,2591,31066,,,
18,053,97,000,IN,"Grant County Tot Mig-US",1241,2552,30816,,,
18,053,97,001,IN,"Grant County Tot Mig-Same St",722,1451,17343,,,
18,053,97,003,IN,"Grant County Tot Mig-Diff St",519,1101,13473,,,
18,053,98,000,IN,"Grant County Tot Mig-Foreign",27,39,249,,,
18,053,18,053,IN,"Grant County Non-Migrants",25467,57335,893941,,,
18,053,18,095,IN,"Madison County",88,183,2289,,,
18,053,18,009,IN,"Blackford County",62,149,1384,,,
18,053,18,069,IN,"Huntington County",62,118,1147,,,
18,053,18,097,IN,"Marion County",53,91,1119,,,
18,053,18,067,IN,"Howard County",51,103,1077,,,
18,053,18,035,IN,"Delaware County",49,106,1331,,,
18,053,18,169,IN,"Wabash County",49,101,1032,,,
18,053,18,103,IN,"Miami County",48,105,1260,,,
18,053,18,003,IN,"Allen County",34,64,872,,,
18,053,18,085,IN,"Kosciusko County",19,36,465,,,
18,053,18,057,IN,"Hamilton County",16,24,540,,,
18,053,18,039,IN,"Elkhart County",15,35,257,,,
18,053,17,031,IL,"Cook County",14,30,510,,,
18,053,18,141,IN,"St Joseph County",13,29,397,,,
18,053,18,065,IN,"Henry County",12,17,249,,,
18,053,18,157,IN,"Tippecanoe County",11,21,407,,,
18,053,26,125,MI,"Oakland County",10,24,502,,,
18,053,58,000,SS,"Other Flows - Same State",140,269,3517,,,
18,053,59,000,DS,"Other Flows - Diff State",495,1047,12462,,,
18,053,59,001,DS,"Other Flows - Northeast",35,89,1088,,,
18,053,59,003,DS,"Other Flows - Midwest",181,353,5179,,,
18,053,59,005,DS,"Other Flows - South",187,422,4359,,,
18,053,59,007,DS,"Other Flows - West",92,183,1837,,,
18,053,57,009,FR,"Foreign - Other flows",27,39,249,,,
18,055,96,000,IN,"Greene County Tot Mig-US & For",675,1462,16886,,,
18,055,97,000,IN,"Greene County Tot Mig-US",675,1462,16886,,,
18,055,97,001,IN,"Greene County Tot Mig-Same St",498,1048,12474,,,
18,055,97,003,IN,"Greene County Tot Mig-Diff St",177,414,4412,,,
18,055,18,055,IN,"Greene County Non-Migrants",10538,24346,326596,,,
18,055,18,105,IN,"Monroe County",180,385,4517,,,
18,055,18,097,IN,"Marion County",42,74,969,,,
18,055,18,153,IN,"Sullivan County",40,100,849,,,
18,055,18,093,IN,"Lawrence County",29,69,838,,,
18,055,18,167,IN,"Vigo County",25,45,509,,,
18,055,18,119,IN,"Owen County",23,41,636,,,
18,055,18,021,IN,"Clay County",22,49,546,,,
18,055,18,027,IN,"Daviess County",22,49,484,,,
18,055,18,083,IN,"Knox County",15,28,314,,,
18,055,58,000,SS,"Other Flows - Same State",100,208,2812,,,
18,055,59,000,DS,"Other Flows - Diff State",177,414,4412,,,
18,057,96,000,IN,"Hamilton County Tot Mig-US & For",6764,14703,394403,,,
18,057,97,000,IN,"Hamilton County Tot Mig-US",6732,14620,391906,,,
18,057,97,001,IN,"Hamilton County Tot Mig-Same St",4493,8930,230913,,,
18,057,97,003,IN,"Hamilton County Tot Mig-Diff St",2239,5690,160993,,,
18,057,98,000,IN,"Hamilton County Tot Mig-Foreign",32,83,2497,,,
18,057,18,057,IN,"Hamilton County Non-Migrants",47396,120889,3370551,,,
18,057,18,097,IN,"Marion County",2867,5647,159894,,,
18,057,18,095,IN,"Madison County",231,460,8678,,,
18,057,18,067,IN,"Howard County",124,225,5345,,,
18,057,18,011,IN,"Boone County",118,264,5262,,,
18,057,17,031,IL,"Cook County",90,200,6509,,,
18,057,18,035,IN,"Delaware County",90,161,3411,,,
18,057,18,157,IN,"Tippecanoe County",74,140,2597,,,
18,057,18,081,IN,"Johnson County",73,145,3745,,,
18,057,18,059,IN,"Hancock County",72,166,3333,,,
18,057,18,003,IN,"Allen County",71,151,3829,,,
18,057,18,063,IN,"Hendricks County",70,140,3362,,,
18,057,17,043,IL,"Du Page County",64,175,5432,,,
18,057,18,159,IN,"Tipton County",60,124,1845,,,
18,057,18,141,IN,"St Joseph County",53,141,3267,,,
18,057,39,049,OH,"Franklin County",50,120,3272,,,
18,057,18,167,IN,"Vigo County",46,90,1644,,,
18,057,18,105,IN,"Monroe County",44,83,1617,,,
18,057,26,125,MI,"Oakland County",41,115,3498,,,
18,057,29,189,MO,"St Louis County",35,99,3236,,,
18,057,39,061,OH,"Hamilton County",34,69,1803,,,
18,057,04,013,AZ,"Maricopa County",33,70,1438,,,
18,057,18,053,IN,"Grant County",30,59,1341,,,
18,057,06,059,CA,"Orange County",29,75,1960,,,
18,057,21,111,KY,"Jefferson County",29,60,1843,,,
18,057,06,037,CA,"Los Angeles County",28,73,7340,,,
18,057,18,065,IN,"Henry County",26,52,856,,,
18,057,18,089,IN,"Lake County",26,54,1597,,,
18,057,18,023,IN,"Clinton County",24,55,623,,,
18,057,18,109,IN,"Morgan County",24,45,1090,,,
18,057,39,017,OH,"Butler County",24,58,1661,,,
18,057,18,177,IN,"Wayne County",23,63,1569,,,
18,057,26,163,MI,"Wayne County",23,59,1806,,,
18,057,39,113,OH,"Montgomery County",23,53,1455,,,
18,057,06,073,CA,"San Diego County",21,51,1288,,,
18,057,39,035,OH,"Cuyahoga County",21,58,2410,,,
18,057,17,097,IL,"Lake County",20,48,3737,,,
18,057,18,005,IN,"Bartholomew County",20,32,772,,,
18,057,18,039,IN,"Elkhart County",20,51,1341,,,
18,057,18,145,IN,"Shelby County",19,31,598,,,
18,057,48,201,TX,"Harris County",19,47,1158,,,
18,057,18,163,IN,"Vanderburgh County",18,37,1135,,,
18,057,18,173,IN,"Warrick County",17,48,1490,,,
18,057,37,119,NC,"Mecklenburg County",17,52,1504,,,
18,057,12,057,FL,"Hillsborough County",16,40,840,,,
18,057,06,085,CA,"Santa Clara County",15,40,1654,,,
18,057,18,085,IN,"Kosciusko County",15,37,897,,,
18,057,48,113,TX,"Dallas County",15,31,1396,,,
18,057,51,059,VA,"Fairfax County",15,39,1271,,,
18,057,20,091,KS,"Johnson County",14,44,992,,,
18,057,26,099,MI,"Macomb County",14,35,862,,,
18,057,27,053,MN,"Hennepin County",14,33,770,,,
18,057,47,157,TN,"Shelby County",14,38,849,,,
18,057,48,439,TX,"Tarrant County",14,40,872,,,
18,057,06,083,CA,"Santa Barbara County",13,40,1517,,,
18,057,18,103,IN,"Miami County",13,26,290,,,
18,057,18,127,IN,"Porter County",13,24,609,,,
18,057,42,091,PA,"Montgomery County",13,45,1283,,,
18,057,47,037,TN,"Davidson County",13,23,712,,,
18,057,06,001,CA,"Alameda County",12,27,850,,,
18,057,08,005,CO,"Arapahoe County",12,26,1560,,,
18,057,12,103,FL,"Pinellas County",12,26,332,,,
18,057,13,135,GA,"Gwinnett County",12,37,1343,,,
18,057,17,019,IL,"Champaign County",12,29,665,,,
18,057,21,067,KY,"Fayette County",12,34,902,,,
18,057,12,011,FL,"Broward County",11,23,571,,,
18,057,12,095,FL,"Orange County",11,19,913,,,
18,057,12,099,FL,"Palm Beach County",11,21,688,,,
18,057,18,013,IN,"Brown County",11,19,467,,,
18,057,26,161,MI,"Washtenaw County",11,26,640,,,
18,057,42,003,PA,"Allegheny County",11,24,778,,,
18,057,12,025,FL,"Dade County",10,22,657,,,
18,057,12,071,FL,"Lee County",10,17,495,,,
18,057,13,067,GA,"Cobb County",10,35,965,,,
18,057,17,201,IL,"Winnebago County",10,31,747,,,
18,057,18,009,IN,"Blackford County",10,14,269,,,
18,057,18,017,IN,"Cass County",10,17,380,,,
18,057,19,153,IA,"Polk County",10,32,990,,,
18,057,26,081,MI,"Kent County",10,15,451,,,
18,057,36,055,NY,"Monroe County",10,26,719,,,
18,057,39,041,OH,"Delaware County",10,31,1021,,,
18,057,48,085,TX,"Collin County",10,31,688,,,
18,057,48,121,TX,"Denton County",10,23,641,,,
18,057,55,025,WI,"Dane County",10,19,423,,,
18,057,58,000,SS,"Other Flows - Same State",181,329,7760,,,
18,057,59,000,DS,"Other Flows - Diff State",1231,3186,79588,,,
18,057,59,001,DS,"Other Flows - Northeast",190,518,16624,,,
18,057,59,003,DS,"Other Flows - Midwest",435,1104,27992,,,
18,057,59,005,DS,"Other Flows - South",462,1192,26254,,,
18,057,59,007,DS,"Other Flows - West",144,372,8718,,,
18,057,57,009,FR,"Foreign - Other flows",32,83,2497,,,
18,059,96,000,IN,"Hancock County Tot Mig-US & For",1793,4006,71973,,,
18,059,97,000,IN,"Hancock County Tot Mig-US",1780,3978,71736,,,
18,059,97,001,IN,"Hancock County Tot Mig-Same St",1428,3166,56674,,,
18,059,97,003,IN,"Hancock County Tot Mig-Diff St",352,812,15062,,,
18,059,98,000,IN,"Hancock County Tot Mig-Foreign",13,28,237,,,
18,059,18,059,IN,"Hancock County Non-Migrants",19694,47715,985247,,,
18,059,18,097,IN,"Marion County",856,1889,34297,,,
18,059,18,145,IN,"Shelby County",83,193,2845,,,
18,059,18,057,IN,"Hamilton County",82,210,4794,,,
18,059,18,095,IN,"Madison County",74,156,2389,,,
18,059,18,065,IN,"Henry County",63,153,2612,,,
18,059,18,139,IN,"Rush County",32,62,927,,,
18,059,18,081,IN,"Johnson County",25,58,1155,,,
18,059,18,035,IN,"Delaware County",16,34,655,,,
18,059,18,063,IN,"Hendricks County",16,31,571,,,
18,059,18,177,IN,"Wayne County",14,35,746,,,
18,059,18,003,IN,"Allen County",12,21,710,,,
18,059,18,109,IN,"Morgan County",11,27,457,,,
18,059,18,041,IN,"Fayette County",10,22,242,,,
18,059,58,000,SS,"Other Flows - Same State",134,275,4274,,,
18,059,59,000,DS,"Other Flows - Diff State",352,812,15062,,,
18,059,59,001,DS,"Other Flows - Northeast",23,56,1622,,,
18,059,59,003,DS,"Other Flows - Midwest",121,279,5175,,,
18,059,59,005,DS,"Other Flows - South",147,343,5074,,,
18,059,59,007,DS,"Other Flows - West",61,134,3192,,,
18,059,57,009,FR,"Foreign - Other flows",13,28,237,,,
18,061,96,000,IN,"Harrison County Tot Mig-US & For",844,1844,24339,,,
18,061,97,000,IN,"Harrison County Tot Mig-US",844,1844,24339,,,
18,061,97,001,IN,"Harrison County Tot Mig-Same St",462,986,12401,,,
18,061,97,003,IN,"Harrison County Tot Mig-Diff St",382,858,11938,,,
18,061,18,061,IN,"Harrison County Non-Migrants",11010,26053,377280,,,
18,061,18,043,IN,"Floyd County",201,433,5819,,,
18,061,21,111,KY,"Jefferson County",160,362,5113,,,
18,061,18,019,IN,"Clark County",112,228,2955,,,
18,061,18,025,IN,"Crawford County",44,90,819,,,
18,061,18,175,IN,"Washington County",42,88,945,,,
18,061,21,163,KY,"Meade County",10,25,272,,,
18,061,58,000,SS,"Other Flows - Same State",63,147,1862,,,
18,061,59,000,DS,"Other Flows - Diff State",212,471,6554,,,
18,063,96,000,IN,"Hendricks Count Tot Mig-US & For",3442,7785,134979,,,
18,063,97,000,IN,"Hendricks Count Tot Mig-US",3442,7785,134979,,,
18,063,97,001,IN,"Hendricks Count Tot Mig-Same St",2751,6088,104744,,,
18,063,97,003,IN,"Hendricks Count Tot Mig-Diff St",691,1697,30235,,,
18,063,18,063,IN,"Hendricks Count Non-Migrants",31838,78400,1531712,,,
18,063,18,097,IN,"Marion County",1880,4152,74361,,,
18,063,18,109,IN,"Morgan County",187,426,5133,,,
18,063,18,133,IN,"Putnam County",108,240,3190,,,
18,063,18,011,IN,"Boone County",79,193,2932,,,
18,063,18,081,IN,"Johnson County",77,174,3120,,,
18,063,18,057,IN,"Hamilton County",57,130,2926,,,
18,063,06,001,CA,"Alameda County",27,70,1491,,,
18,063,06,081,CA,"San Mateo County",26,66,1561,,,
18,063,18,107,IN,"Montgomery County",25,53,797,,,
18,063,18,167,IN,"Vigo County",21,45,656,,,
18,063,18,059,IN,"Hancock County",20,45,760,,,
18,063,18,003,IN,"Allen County",19,46,781,,,
18,063,18,157,IN,"Tippecanoe County",19,36,562,,,
18,063,17,031,IL,"Cook County",16,31,553,,,
18,063,18,105,IN,"Monroe County",16,22,233,,,
18,063,18,035,IN,"Delaware County",14,27,681,,,
18,063,06,095,CA,"Solano County",13,43,854,,,
18,063,18,021,IN,"Clay County",13,25,407,,,
18,063,18,095,IN,"Madison County",13,19,488,,,
18,063,18,119,IN,"Owen County",13,23,209,,,
18,063,06,013,CA,"Contra Costa County",12,36,923,,,
18,063,18,067,IN,"Howard County",12,29,712,,,
18,063,18,039,IN,"Elkhart County",11,20,298,,,
18,063,04,013,AZ,"Maricopa County",10,24,456,,,
18,063,06,037,CA,"Los Angeles County",10,23,381,,,
18,063,18,089,IN,"Lake County",10,17,372,,,
18,063,18,141,IN,"St Joseph County",10,27,338,,,
18,063,18,177,IN,"Wayne County",10,26,424,,,
18,063,58,000,SS,"Other Flows - Same State",137,313,5362,,,
18,063,59,000,DS,"Other Flows - Diff State",577,1404,24016,,,
18,063,59,001,DS,"Other Flows - Northeast",57,127,2751,,,
18,063,59,003,DS,"Other Flows - Midwest",205,506,10220,,,
18,063,59,005,DS,"Other Flows - South",236,553,8095,,,
18,063,59,007,DS,"Other Flows - West",79,218,2951,,,
18,065,96,000,IN,"Henry County Tot Mig-US & For",970,2022,26893,,,
18,065,97,000,IN,"Henry County Tot Mig-US",970,2022,26893,,,
18,065,97,001,IN,"Henry County Tot Mig-Same St",721,1477,20384,,,
18,065,97,003,IN,"Henry County Tot Mig-Diff St",249,545,6508,,,
18,065,18,065,IN,"Henry County Non-Migrants",18432,41606,641321,,,
18,065,18,095,IN,"Madison County",136,274,3553,,,
18,065,18,097,IN,"Marion County",132,258,3893,,,
18,065,18,035,IN,"Delaware County",99,202,3103,,,
18,065,18,059,IN,"Hancock County",86,184,2584,,,
18,065,18,177,IN,"Wayne County",72,156,1901,,,
18,065,18,139,IN,"Rush County",32,68,826,,,
18,065,18,041,IN,"Fayette County",18,37,414,,,
18,065,18,135,IN,"Randolph County",15,32,420,,,
18,065,18,057,IN,"Hamilton County",14,35,504,,,
18,065,18,145,IN,"Shelby County",11,16,198,,,
18,065,58,000,SS,"Other Flows - Same State",106,215,2988,,,
18,065,59,000,DS,"Other Flows - Diff State",249,545,6508,,,
18,065,59,001,DS,"Other Flows - Northeast",18,45,590,,,
18,065,59,003,DS,"Other Flows - Midwest",54,121,1755,,,
18,065,59,005,DS,"Other Flows - South",139,304,3313,,,
18,065,59,007,DS,"Other Flows - West",38,75,850,,,
18,067,96,000,IN,"Howard County Tot Mig-US & For",1891,3888,60156,,,
