"2002-2003 County To County Migration  Inflows",,,,,,"North Dakota",,,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,,,
,,,,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate,,,
38,031,58,000,SS,"Other Flows - Same State",37,61,1010,,,
38,031,59,000,DS,"Other Flows - Diff State",21,38,400,,,
38,033,96,000,ND,"Golden Valley C Tot Mig-US & For",38,71,979,,,
38,033,97,000,ND,"Golden Valley C Tot Mig-US",38,71,979,,,
38,033,97,001,ND,"Golden Valley C Tot Mig-Same St",10,18,418,,,
38,033,97,003,ND,"Golden Valley C Tot Mig-Diff St",28,53,561,,,
38,033,38,033,ND,"Golden Valley C Non-Migrants",654,1462,17943,,,
38,033,58,000,SS,"Other Flows - Same State",10,18,418,,,
38,033,59,000,DS,"Other Flows - Diff State",28,53,561,,,
38,035,96,000,ND,"Grand Forks Cou Tot Mig-US & For",2266,3802,58576,,,
38,035,97,000,ND,"Grand Forks Cou Tot Mig-US",2099,3521,55693,,,
38,035,97,001,ND,"Grand Forks Cou Tot Mig-Same St",641,1013,15939,,,
38,035,97,003,ND,"Grand Forks Cou Tot Mig-Diff St",1458,2508,39754,,,
38,035,98,000,ND,"Grand Forks Cou Tot Mig-Foreign",167,281,2883,,,
38,035,38,035,ND,"Grand Forks Cou Non-Migrants",21944,47159,981448,,,
38,035,27,119,MN,"Polk County",171,282,3878,,,
38,035,38,017,ND,"Cass County",111,159,2660,,,
38,035,57,005,FR,"Foreign - APO/FPO ZIPs",79,190,2457,,,
38,035,38,099,ND,"Walsh County",60,99,1886,,,
38,035,27,053,MN,"Hennepin County",58,85,1844,,,
38,035,38,015,ND,"Burleigh County",58,80,1560,,,
38,035,38,079,ND,"Rolette County",43,82,603,,,
38,035,38,097,ND,"Traill County",41,58,994,,,
38,035,38,067,ND,"Pembina County",36,57,1003,,,
38,035,38,101,ND,"Ward County",36,60,1149,,,
38,035,38,071,ND,"Ramsey County",35,53,719,,,
38,035,27,037,MN,"Dakota County",24,38,616,,,
38,035,38,093,ND,"Stutsman County",22,28,479,,,
38,035,27,123,MN,"Ramsey County",18,20,493,,,
38,035,38,019,ND,"Cavalier County",18,37,397,,,
38,035,38,063,ND,"Nelson County",18,30,354,,,
38,035,48,485,TX,"Wichita County",18,35,398,,,
38,035,02,020,AK,"Anchorage Borough",17,40,496,,,
38,035,27,137,MN,"St Louis County",17,24,382,,,
38,035,27,003,MN,"Anoka County",16,22,387,,,
38,035,27,089,MN,"Marshall County",16,27,420,,,
38,035,38,105,ND,"Williams County",15,25,419,,,
38,035,48,029,TX,"Bexar County",15,41,409,,,
38,035,53,063,WA,"Spokane County",14,36,344,,,
38,035,04,013,AZ,"Maricopa County",13,25,557,,,
38,035,06,073,CA,"San Diego County",13,27,382,,,
38,035,27,007,MN,"Beltrami County",13,18,433,,,
38,035,28,047,MS,"Harrison County",13,25,292,,,
38,035,38,077,ND,"Richland County",13,23,242,,,
38,035,08,041,CO,"El Paso County",12,23,363,,,
38,035,27,113,MN,"Pennington County",12,28,272,,,
38,035,27,135,MN,"Roseau County",12,18,286,,,
38,035,53,033,WA,"King County",12,16,385,,,
38,035,27,111,MN,"Otter Tail County",11,15,217,,,
38,035,38,005,ND,"Benson County",11,17,154,,,
38,035,38,059,ND,"Morton County",11,12,243,,,
38,035,38,091,ND,"Steele County",11,26,442,,,
38,035,53,053,WA,"Pierce County",11,21,566,,,
38,035,17,031,IL,"Cook County",10,21,501,,,
38,035,27,027,MN,"Clay County",10,16,303,,,
38,035,38,061,ND,"Mountrail County",10,23,369,,,
38,035,58,000,SS,"Other Flows - Same State",92,144,2269,,,
38,035,59,000,DS,"Other Flows - Diff State",932,1605,25530,,,
38,035,59,001,DS,"Other Flows - Northeast",76,103,1782,,,
38,035,59,003,DS,"Other Flows - Midwest",359,601,9875,,,
38,035,59,005,DS,"Other Flows - South",249,467,7451,,,
38,035,59,007,DS,"Other Flows - West",248,434,6422,,,
38,035,57,009,FR,"Foreign - Other flows",88,91,426,,,
38,037,96,000,ND,"Grant County Tot Mig-US & For",37,103,933,,,
38,037,97,000,ND,"Grant County Tot Mig-US",37,103,933,,,
38,037,97,001,ND,"Grant County Tot Mig-Same St",27,75,624,,,
38,037,97,003,ND,"Grant County Tot Mig-Diff St",10,28,309,,,
38,037,38,037,ND,"Grant County Non-Migrants",1028,2278,25058,,,
38,037,58,000,SS,"Other Flows - Same State",27,75,624,,,
38,037,59,000,DS,"Other Flows - Diff State",10,28,309,,,
38,039,96,000,ND,"Griggs County Tot Mig-US & For",58,114,1722,,,
38,039,97,000,ND,"Griggs County Tot Mig-US",58,114,1722,,,
38,039,97,001,ND,"Griggs County Tot Mig-Same St",33,56,1012,,,
38,039,97,003,ND,"Griggs County Tot Mig-Diff St",25,58,709,,,
38,039,38,039,ND,"Griggs County Non-Migrants",989,2188,33475,,,
38,039,58,000,SS,"Other Flows - Same State",33,56,1012,,,
38,039,59,000,DS,"Other Flows - Diff State",25,58,709,,,
38,041,96,000,ND,"Hettinger Count Tot Mig-US & For",32,55,991,,,
38,041,97,000,ND,"Hettinger Count Tot Mig-US",32,55,991,,,
38,041,97,001,ND,"Hettinger Count Tot Mig-Same St",21,39,703,,,
38,041,97,003,ND,"Hettinger Count Tot Mig-Diff St",11,16,288,,,
38,041,38,041,ND,"Hettinger Count Non-Migrants",1013,2308,31923,,,
38,041,38,089,ND,"Stark County",11,20,289,,,
38,041,58,000,SS,"Other Flows - Same State",10,19,414,,,
38,041,59,000,DS,"Other Flows - Diff State",11,16,288,,,
38,043,96,000,ND,"Kidder County Tot Mig-US & For",48,97,1175,,,
38,043,97,000,ND,"Kidder County Tot Mig-US",48,97,1175,,,
38,043,97,001,ND,"Kidder County Tot Mig-Same St",36,73,851,,,
38,043,97,003,ND,"Kidder County Tot Mig-Diff St",12,24,324,,,
38,043,38,043,ND,"Kidder County Non-Migrants",954,2156,25008,,,
38,043,38,015,ND,"Burleigh County",16,33,439,,,
38,043,58,000,SS,"Other Flows - Same State",20,40,412,,,
38,043,59,000,DS,"Other Flows - Diff State",12,24,324,,,
38,045,96,000,ND,"La Moure County Tot Mig-US & For",67,122,1699,,,
38,045,97,000,ND,"La Moure County Tot Mig-US",67,122,1699,,,
38,045,97,001,ND,"La Moure County Tot Mig-Same St",39,65,869,,,
38,045,97,003,ND,"La Moure County Tot Mig-Diff St",28,57,830,,,
38,045,38,045,ND,"La Moure County Non-Migrants",1678,3792,59963,,,
38,045,38,093,ND,"Stutsman County",13,31,296,,,
38,045,58,000,SS,"Other Flows - Same State",26,34,573,,,
38,045,59,000,DS,"Other Flows - Diff State",28,57,830,,,
38,047,96,000,ND,"Logan County Tot Mig-US & For",33,63,1204,,,
38,047,97,000,ND,"Logan County Tot Mig-US",33,63,1204,,,
38,047,97,001,ND,"Logan County Tot Mig-Same St",16,28,470,,,
38,047,97,003,ND,"Logan County Tot Mig-Diff St",17,35,734,,,
38,047,38,047,ND,"Logan County Non-Migrants",767,1742,18672,,,
38,047,58,000,SS,"Other Flows - Same State",16,28,470,,,
38,047,59,000,DS,"Other Flows - Diff State",17,35,734,,,
38,049,96,000,ND,"Mchenry County Tot Mig-US & For",131,263,3138,,,
38,049,97,000,ND,"Mchenry County Tot Mig-US",131,263,3138,,,
38,049,97,001,ND,"Mchenry County Tot Mig-Same St",96,181,2075,,,
38,049,97,003,ND,"Mchenry County Tot Mig-Diff St",35,82,1063,,,
38,049,38,049,ND,"Mchenry County Non-Migrants",2120,4641,59309,,,
38,049,38,101,ND,"Ward County",52,99,1235,,,
38,049,58,000,SS,"Other Flows - Same State",44,82,840,,,
38,049,59,000,DS,"Other Flows - Diff State",35,82,1063,,,
38,051,96,000,ND,"Mcintosh County Tot Mig-US & For",47,99,1146,,,
38,051,97,000,ND,"Mcintosh County Tot Mig-US",47,99,1146,,,
38,051,97,001,ND,"Mcintosh County Tot Mig-Same St",23,48,545,,,
38,051,97,003,ND,"Mcintosh County Tot Mig-Diff St",24,51,601,,,
38,051,38,051,ND,"Mcintosh County Non-Migrants",1236,2701,33364,,,
38,051,58,000,SS,"Other Flows - Same State",23,48,545,,,
38,051,59,000,DS,"Other Flows - Diff State",24,51,601,,,
38,053,96,000,ND,"Mckenzie County Tot Mig-US & For",93,168,1999,,,
38,053,97,000,ND,"Mckenzie County Tot Mig-US",93,168,1999,,,
38,053,97,001,ND,"Mckenzie County Tot Mig-Same St",52,93,1049,,,
38,053,97,003,ND,"Mckenzie County Tot Mig-Diff St",41,75,950,,,
38,053,38,053,ND,"Mckenzie County Non-Migrants",1575,3747,53701,,,
38,053,38,061,ND,"Mountrail County",11,21,151,,,
38,053,38,105,ND,"Williams County",10,13,178,,,
38,053,58,000,SS,"Other Flows - Same State",31,59,719,,,
38,053,59,000,DS,"Other Flows - Diff State",41,75,950,,,
38,055,96,000,ND,"Mclean County Tot Mig-US & For",201,371,5305,,,
38,055,97,000,ND,"Mclean County Tot Mig-US",201,371,5305,,,
38,055,97,001,ND,"Mclean County Tot Mig-Same St",138,262,3555,,,
38,055,97,003,ND,"Mclean County Tot Mig-Diff St",63,109,1750,,,
38,055,38,055,ND,"Mclean County Non-Migrants",3381,7644,121331,,,
38,055,38,015,ND,"Burleigh County",48,96,1212,,,
38,055,38,101,ND,"Ward County",27,45,771,,,
38,055,58,000,SS,"Other Flows - Same State",63,121,1572,,,
38,055,59,000,DS,"Other Flows - Diff State",63,109,1750,,,
38,057,96,000,ND,"Mercer County Tot Mig-US & For",159,301,5443,,,
38,057,97,000,ND,"Mercer County Tot Mig-US",159,301,5443,,,
38,057,97,001,ND,"Mercer County Tot Mig-Same St",92,175,2939,,,
38,057,97,003,ND,"Mercer County Tot Mig-Diff St",67,126,2505,,,
38,057,38,057,ND,"Mercer County Non-Migrants",3123,7805,147897,,,
38,057,38,015,ND,"Burleigh County",36,66,1297,,,
38,057,58,000,SS,"Other Flows - Same State",56,109,1642,,,
38,057,59,000,DS,"Other Flows - Diff State",67,126,2505,,,
38,059,96,000,ND,"Morton County Tot Mig-US & For",781,1351,23724,,,
38,059,97,000,ND,"Morton County Tot Mig-US",781,1351,23724,,,
38,059,97,001,ND,"Morton County Tot Mig-Same St",605,1028,18105,,,
38,059,97,003,ND,"Morton County Tot Mig-Diff St",176,323,5619,,,
38,059,38,059,ND,"Morton County Non-Migrants",9037,20348,361158,,,
38,059,38,015,ND,"Burleigh County",389,664,11471,,,
38,059,38,017,ND,"Cass County",36,63,864,,,
38,059,38,089,ND,"Stark County",17,21,331,,,
38,059,38,101,ND,"Ward County",17,30,523,,,
38,059,38,035,ND,"Grand Forks County",15,26,301,,,
38,059,38,055,ND,"Mclean County",14,21,361,,,
38,059,38,057,ND,"Mercer County",13,29,771,,,
38,059,38,037,ND,"Grant County",10,18,272,,,
38,059,58,000,SS,"Other Flows - Same State",94,156,3212,,,
38,059,59,000,DS,"Other Flows - Diff State",176,323,5619,,,
38,061,96,000,ND,"Mountrail Count Tot Mig-US & For",151,323,3759,,,
38,061,97,000,ND,"Mountrail Count Tot Mig-US",151,323,3759,,,
38,061,97,001,ND,"Mountrail Count Tot Mig-Same St",96,207,2057,,,
38,061,97,003,ND,"Mountrail Count Tot Mig-Diff St",55,116,1702,,,
38,061,38,061,ND,"Mountrail Count Non-Migrants",2399,5512,77923,,,
38,061,38,101,ND,"Ward County",26,55,529,,,
38,061,38,053,ND,"Mckenzie County",12,24,322,,,
38,061,58,000,SS,"Other Flows - Same State",58,128,1206,,,
38,061,59,000,DS,"Other Flows - Diff State",55,116,1702,,,
38,063,96,000,ND,"Nelson County Tot Mig-US & For",86,176,2387,,,
38,063,97,000,ND,"Nelson County Tot Mig-US",86,176,2387,,,
38,063,97,001,ND,"Nelson County Tot Mig-Same St",59,123,1637,,,
38,063,97,003,ND,"Nelson County Tot Mig-Diff St",27,53,750,,,
38,063,38,063,ND,"Nelson County Non-Migrants",1306,2746,42771,,,
38,063,38,035,ND,"Grand Forks County",16,32,299,,,
38,063,38,071,ND,"Ramsey County",10,23,400,,,
38,063,58,000,SS,"Other Flows - Same State",33,68,937,,,
38,063,59,000,DS,"Other Flows - Diff State",27,53,750,,,
38,065,96,000,ND,"Oliver County Tot Mig-US & For",28,50,1058,,,
38,065,97,000,ND,"Oliver County Tot Mig-US",28,50,1058,,,
38,065,38,065,ND,"Oliver County Non-Migrants",714,1670,27000,,,
38,067,96,000,ND,"Pembina County Tot Mig-US & For",160,313,5332,,,
